"mem_signup_month","num_days_as_member","acquisition_source","days_between_first_and_second_order","days_between_second_and_third_order","days_between_third_and_fourth_order","days_between_fourth_and_fifth_order","spicy_preference_index","sweet_preference_index","tart_preference_index","has_purchased_a_limited_edition_sku","has_spent_more_than_50_dollars"
11,361,"facebook",0,0,0,0,0.0727,0.1454,0.4545,0,0
12,349,"unknown",98,182,0,0,0.0571,0.4428,0.3214,0,1
12,341,"friends/family",164,139,0,0,0.0133,0.4133,0.2333,0,1
12,356,"friends/family",0,0,0,0,0,0.55,0.375,0,0
12,340,"friends/family",0,0,0,0,0.15,0.45,0.25,1,0
12,353,"friends/family",127,0,0,0,0.1125,0.35,0.1875,1,0
12,352,"friends/family",0,0,0,0,0.2,0.25,0.375,1,0
12,326,"blog",0,0,0,0,0,0.425,0.25,0,0
12,353,"unknown",132,0,0,0,0.0571,0.3085,0.3428,1,1
1,321,"friends/family",0,0,0,0,0.1142,0.4,0.3571,0,0
1,322,"unknown",0,0,0,0,0,0.6,0.4166,0,0
12,330,"friends/family",15,0,0,0,0,0.475,0.3125,1,0
12,341,"facebook",0,0,0,0,0,0.8,0.25,0,0
12,326,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,328,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,328,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,343,"radio",167,145,0,0,0.0416,0.5,0.3125,1,1
12,354,"podcast",0,0,0,0,0.0666,0.2666,0.2666,1,0
12,353,"facebook",27,92,0,0,0.0444,0.4888,0.3611,1,1
12,339,"unknown",22,0,0,0,0.1375,0.3125,0.4062,1,0
11,358,"friends/family",0,0,0,0,0,0.625,0.4375,0,0
12,326,"friends/family",0,0,0,0,0,0.56,0.2,0,0
12,355,"friends/family",9,0,0,0,0,0.3454,0.3409,0,1
11,358,"unknown",0,0,0,0,0,0.4,0.4285,0,0
12,340,"facebook",0,0,0,0,0.25,0.25,0.125,0,0
12,341,"unknown",31,119,72,110,0.0411,0.5294,0.3088,1,1
11,358,"youtube",0,0,0,0,0.1333,0.2333,0.3333,0,0
12,331,"friends/family",279,0,0,0,0,0.5454,0.409,1,1
12,346,"facebook",2,0,0,0,0,0.325,0.375,0,0
11,366,"unknown",0,0,0,0,0.25,0.2,0.3125,0,0
11,359,"friends/family",11,21,23,17,0.0263,0.5052,0.4078,0,1
12,332,"friends/family",21,20,42,42,0.0702,0.2918,0.1891,1,1
12,338,"facebook",0,0,0,0,0,0.3714,0.2142,1,0
12,353,"unknown",0,0,0,0,0.125,0.2,0.3125,1,0
11,359,"unknown",0,0,0,0,0,0.4666,0.2777,1,0
12,341,"youtube",0,0,0,0,0,0.35,0.125,0,0
12,333,"friends/family",0,137,56,0,0.1428,0.2914,0.3142,1,1
1,320,"catalog/mailer",10,56,119,125,0.0533,0.42,0.3166,1,1
11,362,"unknown",358,0,0,0,0.1,0.36,0.3,0,0
12,343,"unknown",128,0,0,0,0,0.6166,0.4166,0,0
12,330,"youtube",70,28,34,190,0.0454,0.3363,0.3409,0,1
